Session_id,Start_time,Peak_viewers,Gifts_from_viewers,Number_of_products,Number_of_goods_sold,Total_sales_amount,Duration,Views,Average_number_of_online_viewers,Number_of_likes,Number_of_new_followers,Fan Conversion Ratio,Number_of_new_fans,Per_customer_transaction,UV,Sales_conversion_value_ratio,Average_length_of_stay,Name,Host_category,Occupation,Date
1,8/31/21 11:53,15042,19843,105,140796,11674555.88,13hours46minutes38seconds,4146340,7770,3376463,6231,0.15%,316,82.92,2.82,3.40%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/31/21
2,8/30/21 11:49,13639,12125,107,66585,11909904.22,14hours51minutes31seconds,3911049,6566,2033428,4875,0.12%,217,178.87,3.05,1.70%,1minutes31seconds,Luo Yonghao,C,Entrepreneur,8/30/21
3,8/29/21 11:49,24133,27657,104,109985,12055690.37,14hours15minutes44seconds,5506928,9776,3175805,10854,0.20%,4033,109.61,2.19,2.00%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/29/21
4,8/28/21 11:50,27482,37051,89,96721,14489985.47,14hours11minutes52seconds,5194916,9552,1669821,9319,0.18%,1881,149.81,2.79,1.86%,1minutes41seconds,Luo Yonghao,C,Entrepreneur,8/28/21
5,8/27/21 11:51,17296,15501,95,98727,11282694.12,14hours11minutes50seconds,4421344,7920,2559625,5856,0.13%,239,114.28,2.55,2.23%,1minutes34seconds,Luo Yonghao,C,Entrepreneur,8/27/21
6,8/26/21 11:49,13674,26106,118,117841,11990389.46,14hours21minutes52seconds,3999663,7236,2327451,5115,0.13%,1718,101.75,3,2.95%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/26/21
7,8/25/21 12:00,35163,35461,115,71153,14967719.56,13hours45minutes11seconds,5125876,10255,5579201,9998,0.20%,3875,210.36,2.92,1.39%,1minutes43seconds,Luo Yonghao,C,Entrepreneur,8/25/21
8,8/25/21 11:48,0,0, , , ,10minutes26seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/25/21
9,8/24/21 11:53,21898,38878,111,95840,18118038.98,13hours56minutes57seconds,5240795,10141,4057198,19374,0.37%,5686,189.04,3.46,1.83%,1minutes38seconds,Luo Yonghao,C,Entrepreneur,8/24/21
10,8/23/21 11:48,13425,0,88,57331,9996629.98,14hours12minutes34seconds,3796921,7436,1456376,6926,0.18%,405,174.37,2.63,1.51%,1minutes40seconds,Luo Yonghao,C,Entrepreneur,8/23/21
11,8/22/21 11:50,16166,11672,67,92534,10114813.25,14hours18minutes22seconds,4521018,8457,1298051,5177,0.11%,266,109.31,2.24,2.05%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/22/21
12,8/21/21 11:49,30630,22663,86,141921,13086811.83,14hours26minutes45seconds,5001462,10286,934611,9451,0.19%,835,92.21,2.62,2.84%,1minutes36seconds,Luo Yonghao,C,Entrepreneur,8/21/21
13,8/20/21 11:50,32562,29124,75,108963,11357513.79,14hours40minutes57seconds,4547512,8952,962611,9704,0.21%,2055,104.23,2.5,2.40%,1minutes44seconds,Luo Yonghao,C,Entrepreneur,8/20/21
14,8/19/21 11:48,10302,12255,106,96080,8163224.59,14hours18minutes30seconds,2998857,6079,814597,3317,0.11%,152,84.96,2.72,3.20%,1minutes32seconds,Luo Yonghao,C,Entrepreneur,8/19/21
15,8/18/21 11:49,53983,5983696,139,231382,133484084.7,14hours24minutes34seconds,8258805,18032,2704247,36540,0.44%,16094,576.9,16.24,2.80%,1minutes53seconds,Luo Yonghao,C,Entrepreneur,8/18/21
16,8/17/21 11:50,21399,27575,111,77934,9248653.12,14hours22minutes38seconds,4104480,7734,1683744,6862,0.17%,4159,118.67,2.25,1.90%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,8/17/21
17,8/16/21 11:46,11952,19808,91,69368,9690188.58,14hours33minutes26seconds,3498472,6393,1510166,4435,0.13%,1788,139.69,2.77,1.98%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/16/21
18,8/15/21 11:49,20842,45245,84,104053,15441337.2,14hours14minutes33seconds,5011760,9550,2079630,12339,0.25%,1351,148.4,3.08,2.08%,1minutes37seconds,Luo Yonghao,C,Entrepreneur,8/15/21
19,8/14/21 11:52,30508,104119,84,89947,12809018.17,14hours7minutes49seconds,4987651,10017,1539335,9807,0.20%,1362,142.41,2.57,1.80%,1minutes42seconds,Luo Yonghao,C,Entrepreneur,8/14/21
20,8/14/21 11:51,0,0, , , ,1minutes45seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/14/21
21,8/13/21 11:50,31959,87909,89,118808,12814573.13,14hours24minutes57seconds,5937410,11439,2527194,12436,0.21%,2769,107.86,2.16,2.00%,1minutes40seconds,Luo Yonghao,C,Entrepreneur,8/13/21
22,8/13/21 11:50,0,0, , , ,11seconds,0,0,0,0,0.00%,0, ,0, ,,Luo Yonghao,C,Entrepreneur,8/13/21
23,8/12/21 11:49,18593,46527,206,184585,13627226.86,14hours16minutes9seconds,4568122,8503,2611779,9176,0.20%,6042,73.83,2.98,4.04%,1minutes35seconds,Luo Yonghao,C,Entrepreneur,8/12/21
24,8/11/21 11:48,14393,42377,121,67916,13846220.03,14hours30minutes27seconds,4380552,7546,1052356,6220,0.14%,2164,203.87,3.16,1.55%,1minutes30seconds,Luo Yonghao,C,Entrepreneur,8/11/21
25,8/10/21 11:53,16711,44920,98,121820,12097910.71,14hours15minutes12seconds,4831190,8763,2110082,7645,0.16%,2866,99.31,2.51,2.52%,1minutes33seconds,Luo Yonghao,C,Entrepreneur,8/10/21
