Item_Id,Goods_category,Retailing_price_(YUAN),Commission_rate,Sales_volume,Sales_amount,Conversion_rate,Short_video,Live_streaming,Name,Host_category,Good_category_new
1,3C digital products,5549,0.00%,8045,44641000,27.71%,0,1,Luo Yonghao,C,digital
2,3C digital products,5546,0.00%,4061,22854146,0.05%,0,24,Luo Yonghao,C,digital
3,3C digital products,6299,0.00%,2835,17855000,16.08%,0,1,Luo Yonghao,C,digital
4,3C digital products,9039,0.00%,1361,12306000,2.58%,0,1,Luo Yonghao,C,digital
5,Jewelry Accessories,19000,1.00%,590,11304000,0.32%,0,2,Luo Yonghao,C,jewelry and watches
6,3C digital products,8428.9,0.00%,1000,8428000,34.01%,0,1,Luo Yonghao,C,digital
7,3C digital products,6698.55,0.00%,1211,8133912,1.03%,0,3,Luo Yonghao,C,digital
8,Jewelry Accessories,18999.92,1.00%,408,7751000,11.49%,0,1,Luo Yonghao,C,jewelry and watches
9,Beauty skin care,798.31,4.00%,8993,7179174,0.46%,0,14,Luo Yonghao,C,beauty
10,3C digital products,6258.96,0.00%,1000,6258000,28.13%,0,1,Luo Yonghao,C,digital
11,Kitchen and bath appliance,1699.3,1.00%,3632,6171871,0.13%,0,25,Luo Yonghao,C,household
12,Food and beverage,2659,0.00%,2260,6009000,5.44%,0,1,Luo Yonghao,C,food
13,3C digital products,6097.39,0.00%,934,5727154,0.79%,0,3,Luo Yonghao,C,digital
14,Kitchen and bath appliance,998.72,5.00%,5637,5630839,0.11%,0,22,Luo Yonghao,C,household
15,Kitchen and bath appliance,4398.82,5.00%,1264,5563000,0.30%,0,3,Luo Yonghao,C,household
16,The local life,819.69,1.00%,6418,5367450,0.72%,0,6,Luo Yonghao,C,leisure and others
17,"Books, audio and video",814.54,1.00%,6394,5259078,1.06%,0,6,Luo Yonghao,C,leisure and others
18,3C digital products,2678,0.00%,1936,5184000,2.24%,0,1,Luo Yonghao,C,digital
19,Food and beverage,54,1.00%,81363,5085678,1.93%,0,21,Luo Yonghao,C,food
20,3C digital products,6097.38,0.00%,828,5048000,18.81%,0,1,Luo Yonghao,C,digital
21,3C digital products,5549,0.00%,864,4797000,4.83%,0,1,Luo Yonghao,C,digital
22,Shoe bag,278.8,1.00%,16428,4580000,6.85%,0,1,Luo Yonghao,C,clothing
23,3C digital products,3799,0.00%,1202,4566000,3.44%,0,1,Luo Yonghao,C,digital
24,The local life,812.53,1.00%,5136,4240750,1.16%,0,6,Luo Yonghao,C,leisure and others
25,The local life,1345,1.00%,3076,4144089,0.53%,0,6,Luo Yonghao,C,leisure and others
26,Food and beverage,59.4,10.00%,68193,4050656,5.81%,0,11,Luo Yonghao,C,food
27,3C digital products,5449,1.00%,738,4022000,0.44%,0,4,Luo Yonghao,C,digital
28,Beauty skin care,797.56,1.00%,4867,3885850,1.42%,0,7,Luo Yonghao,C,beauty
29,3C digital products,7789,0.00%,477,3717000,1.44%,0,1,Luo Yonghao,C,digital
30,Food and beverage,1065,1.00%,3392,3622701,0.61%,0,10,Luo Yonghao,C,food
31,Food and beverage,64.8,15.00%,49929,3458368,0.13%,0,12,Luo Yonghao,C,food
32,3C digital products,8428.96,0.00%,400,3371000,6.41%,0,1,Luo Yonghao,C,digital
33,Food and beverage,2639,0.00%,1268,3346207,1.57%,0,3,Luo Yonghao,C,food
34,Food and beverage,2849,0.00%,1165,3318000,1.96%,0,1,Luo Yonghao,C,food
35,Fresh fruits and vegetables,99.53,1.00%,33115,3297376,19.04%,0,3,Luo Yonghao,C,food
36,Kitchen and bath appliance,1879,0.00%,1750,3288000,2.27%,0,1,Luo Yonghao,C,household
37,Furniture and building materials,998.87,1.00%,3228,3225000,3.37%,0,2,Luo Yonghao,C,leisure and others
38,Medical care,144,10.00%,20858,3095907,1.29%,0,13,Luo Yonghao,C,beauty
39,Automobile motorcycle,267.74,15.00%,11475,3072325,0.76%,0,13,Luo Yonghao,C,leisure and others
40,Food and beverage,2849,0.00%,1065,3035000,5.04%,0,1,Luo Yonghao,C,food
41,The local life,3799,1.00%,781,3033592,0.11%,0,8,Luo Yonghao,C,leisure and others
42,3C digital products,95,0.00%,31400,2983035,84.20%,0,2,Luo Yonghao,C,digital
43,"Books, audio and video",3886.76,5.00%,731,2841223,0.23%,0,8,Luo Yonghao,C,leisure and others
44,"Books, audio and video",5596.5,10.00%,500,2798916,0.10%,0,8,Luo Yonghao,C,leisure and others
45,3C digital products,7904.14,0.00%,350,2766000,6.45%,0,1,Luo Yonghao,C,digital
46,3C digital products,2699,0.00%,1013,2734000,2.34%,0,1,Luo Yonghao,C,digital
47,Food and beverage,1068.81,1.00%,2549,2725129,1.19%,0,5,Luo Yonghao,C,food
48,Food and beverage,2659,1.00%,994,2642000,5.30%,0,1,Luo Yonghao,C,food
49,3C digital products,95,0.00%,26779,2544000,92.26%,0,1,Luo Yonghao,C,digital
50,Food and beverage,11.8,0.00%,212460,2526582,3.11%,0,24,Luo Yonghao,C,food
51,3C digital products,6259,0.00%,399,2497000,10.86%,0,1,Luo Yonghao,C,digital
52,Food and beverage,55.9,10.00%,44496,2487306,20.58%,0,6,Luo Yonghao,C,food
53,Medical care,81.44,1.00%,26654,2474464,2.17%,0,12,Luo Yonghao,C,beauty
54,Others,4898.89,1.00%,490,2406462,0.20%,0,5,Luo Yonghao,C,leisure and others
55,"Books, audio and video",95,0.00%,24989,2374000,103.44%,0,1,Luo Yonghao,C,leisure and others
56,Dress and underwear,59.55,1.00%,39711,2369512,4.95%,0,6,Luo Yonghao,C,clothing
57,3C digital products,4699,0.00%,501,2355000,1.67%,0,1,Luo Yonghao,C,digital
58,3C digital products,2683.45,0.00%,863,2315000,2.00%,0,1,Luo Yonghao,C,digital
59,Dress and underwear,178.9,1.00%,12843,2298616,15.08%,0,3,Luo Yonghao,C,clothing
60,Household textile,64,1.00%,31108,2285284,3.20%,0,10,Luo Yonghao,C,household
61,"Books, audio and video",95,0.00%,23989,2279015,113.60%,0,2,Luo Yonghao,C,leisure and others
62,Fresh fruits and vegetables,99.45,1.00%,22722,2261470,4.88%,0,6,Luo Yonghao,C,food
63,3C digital products,2678,0.00%,824,2206638,8.92%,0,2,Luo Yonghao,C,digital
64,Jewelry Accessories,1998.84,1.00%,1097,2192790,0.28%,0,4,Luo Yonghao,C,jewelry and watches
65,"Books, audio and video",3798.79,1.00%,574,2179435,0.22%,0,6,Luo Yonghao,C,leisure and others
