Video_content,Release_time,The_video_duration,Estimated_Sales_volume_(pieces),Estimated_sales_amount,Number_of_likes,Number_of_comments,Number_of_reposts,Name
注意!!! 交个朋友直播间将于 9 月 2 日零点起，开启 7 x 24小时直播带货！届时我们全天候都是营业状态，大家随时来随时买！#亚特兰蒂斯的秘密,08-31 21:32:22,21秒,--,--,33439,2026,1557,Luo Yonghao
罗老师直播间的神秘书法大公开!!!,08-29 19:47:23,33秒,--,--,33730,592,318,Luo Yonghao
想拥有一个快乐的周末，你需要有… #好物联播  #shotoniphone,08-28 15:46:52,15秒,--,--,31641,750,1032,Luo Yonghao
交个朋友直播间美食专场，带你品味#人间烟火 #人间烟火定格照,08-26 16:07:03,10秒,--,--,31984,1271,1338,Luo Yonghao
电竞解说的手速果然名不虚传，这波操作什么水平？,08-25 18:36:21,28秒,--,--,35021,892,1111,Luo Yonghao
我的房车生活之辅助驾驶篇。,08-24 16:42:51,58秒,--,--,43717,1581,1623,Luo Yonghao
我的房车生活之锁车篇。,08-23 16:57:07,52秒,--,--,17220,762,795,Luo Yonghao
我的房车生活之“限高”篇。,08-23 14:43:56,53秒,--,--,16205,738,759,Luo Yonghao
就这样看着你，看着你,08-22 15:29:11,9秒,--,--,87894,2512,2815,Luo Yonghao
一个中年网红为了不被时代“抛弃”究竟能做出什么？,08-21 20:57:43,19秒,--,--,130202,1839,4967,Luo Yonghao
一个带货的直播间突然转变画风…,08-20 21:45:19,27秒,--,--,7500,291,185,Luo Yonghao
直播间没有上菜品 可能是因为后厨...#工作日常 #搞笑,08-20 17:20:26,1分8秒,--,--,28045,897,812,Luo Yonghao
约女生一起吃饭的正确打开方式 #我能请你吃个饭吗,08-15 14:47:06,14秒,--,--,26407,644,1081,Luo Yonghao
听到她被人照顾得很好，我就放心了…@认养一头牛官方旗舰店【奶牛养得好，牛奶才会好】,08-12 15:00:08,1分35秒,--,--,425665,6011,9830,Luo Yonghao
即使工作再忙、再累、再掉头发…能“躺一小会儿”也应该是每个奋斗者都能享受的权利。?? @上汽大通MAXUS,08-10 18:07:55,1分24秒,--,--,52933,2971,3398,Luo Yonghao
交个朋友的(部分)主播们一次难得的同框 #抖音818新潮好物节,08-09 16:01:27,40秒,--,--,57154,3222,1107,Luo Yonghao
交个朋友直播间，全是好东西便宜到飞起！#抖音818新潮好物节,08-08 18:33:48,17秒,--,--,38975,933,856,Luo Yonghao
老罗面对流星进行了一次曲折的许愿… #抖音818新潮好物节,08-08 17:31:02,21秒,--,--,67612,1004,1569,Luo Yonghao
张国伟对老罗以不变应万变 #张国伟只会说对对对的捧哏 #抖音818新潮好物节 #老罗说啥张国伟都说对对对对,08-08 12:13:50,24秒,--,--,30465,1113,1801,Luo Yonghao
已知@张国伟_国家伟大身高两米，求罗老师多高？#抖音818新潮好物节  #张国伟去罗永浩直播间反客为主,08-07 21:22:22,24秒,--,--,281845,3562,2410,Luo Yonghao
谨以此书送给诺?尔物理学奖未获得者@张国伟_国家伟大 #抖音818新潮好物节,08-07 10:00:00,18秒,--,--,151809,2406,1781,Luo Yonghao
全网征集私人健身教练，求推荐！ #罗永浩全网征集冠军教练  #抖音818新潮好物节,08-06 10:00:00,38秒,--,--,144782,11643,5070,Luo Yonghao
交个朋友直播间美食专场，便宜到哭！#美食,08-05 15:07:40,26秒,--,--,26700,2359,1538,Luo Yonghao
张国伟来老罗直播间了？直播间人均喜剧人，「冠军」品质好货5折起！ #抖音818新潮好物节,08-04 21:28:21,27秒,--,--,6291,245,95,Luo Yonghao
老罗健身教练是张国伟？张罗组合营业中，快来围观！超多红包，品质好物等你来！ #抖音818新潮好物节,08-04 21:20:55,36秒,--,--,3233,115,57,Luo Yonghao
关于可乐，你可以懂的不多，但是今晚直播间的无糖可乐一定要记得来抢！,08-03 14:23:42,22秒,--,--,47006,4060,3332,Luo Yonghao
路上偶遇一位直播间的小迷弟……一定要看到最后！,08-02 19:54:46,31秒,--,--,16636,609,481,Luo Yonghao
帅，只是我们男主播的常规操作…,07-31 20:22:03,17秒,--,--,31994,1592,1039,Luo Yonghao
交个朋友直播间夏日家电专场，等你来看！,07-29 14:36:02,24秒,--,--,43625,2706,2402,Luo Yonghao
帅哥洗车技术哪家强，来交个朋友直播间找龚晨。,07-25 16:09:32,24秒,--,--,37397,1930,2624,Luo Yonghao
交个朋友主播才艺展示之袋鼠摇手 #袋鼠摇手太魔性了 #袋鼠摇手,07-24 18:53:22,6秒,--,--,29023,652,1287,Luo Yonghao
感谢润微品牌对灾区的支持，更感谢在前线的志愿者们和救援人员，辛苦了！为你们加油！,07-23 22:13:56,31秒,--,--,26342,760,417,Luo Yonghao
据说这是颜控看直播带货时的状态，说的是你吗？ #颜控 #山东话,07-23 15:30:01,15秒,--,--,33093,1254,564,Luo Yonghao
抖音电商出品的纪录片《向新力》上映了，“国民级”购物节#抖音818新潮好物节 即将开启！#向新力 @电商小助手,07-23 14:30:01,1分6秒,--,--,44064,871,897,Luo Yonghao
女主播的大型社死现场… #社死现场,07-21 15:51:32,16秒,--,--,71169,1319,942,Luo Yonghao
“作为一个胖子，兄弟我认为，锂电池被发明后，最伟大的发明就是这个。”,07-20 14:19:33,22秒,--,--,12907,310,361,Luo Yonghao
假如喝酒有段位，你是青铜还是王者？,07-17 16:15:38,46秒,--,--,19066,819,1611,Luo Yonghao
一个70后中年人被娱乐圈的相似人名弄懵了,07-11 19:00:11,14秒,--,--,57904,1330,407,Luo Yonghao
来自老罗的五折召唤！  #3d压迫感大片 #这上头的压迫感,07-09 17:08:55,16秒,--,--,113832,2821,4137,Luo Yonghao
从小迷之信心能赚大钱的罗永浩，欠债之后心态发生了什么变化？#我的青铜时代,07-06 16:56:27,2分17秒,--,--,157399,4806,5862,Luo Yonghao
各路吃货朋友千万别错过，快来交个朋友直播间食品酒水专场！,07-03 20:38:57,29秒,--,--,50874,1465,1164,Luo Yonghao
来不及了，交个朋友直播间从今天起十二点就开播，快来抢购！,06-28 11:37:20,16秒,--,--,76529,3249,1645,Luo Yonghao
罗老师墙裂推荐的“什么马”毛巾究竟有什么过人之处？,06-27 22:52:03,24秒,--,--,7058,147,187,Luo Yonghao
自打吃播问世以来，如此“上境界”的吃播还是第一次见。,06-26 22:59:49,26秒,--,--,10666,273,159,Luo Yonghao
最近可乐在欧洲遭受了一些不公正的待遇，对此我必须说两句了。 #c罗 #c罗拒绝与可乐同框,06-26 22:17:06,23秒,--,--,33415,981,311,Luo Yonghao
【直播间整活儿现场】之高尔夫球飞得不是那么利索,06-26 22:02:03,17秒,--,--,29738,408,256,Luo Yonghao
外国人到中国生活，入乡随俗的第一课。,06-26 15:50:45,24秒,--,--,5787,92,97,Luo Yonghao
【直播间整活儿现场】之铁锅炖大呐(鹅)!!!,06-25 22:24:47,30秒,--,--,29662,620,241,Luo Yonghao
就是现在，交个朋友直播间周五五折专场，最高不超过 5.9 折，最低低至 2 折！,06-25 16:00:17,20秒,--,--,4119,81,81,Luo Yonghao
干饭人罗永浩一个加餐的功夫，公司就发生了这么大的事儿…,06-25 14:54:49,21秒,--,--,18141,543,364,Luo Yonghao
为什么有的样品会神秘消失？,06-23 16:06:56,15秒,--,--,31711,376,178,Luo Yonghao
《小罗进城记》 #今天吃什么,06-22 21:06:08,22秒,--,--,35867,462,117,Luo Yonghao
罗永浩和@大张伟 拌嘴，竟然有“老两口”的感觉？#谁是宝藏歌手,06-21 17:23:18,25秒,--,--,28104,351,116,Luo Yonghao
【蛤蜊】这个词在你们那里怎么读？,06-19 21:13:02,24秒,--,--,17890,922,214,Luo Yonghao
春夏在户外约会，最重要的竟是Ta…,06-19 16:46:34,27秒,--,--,50791,2924,2147,Luo Yonghao
优秀的员工能理解老板的一个眼神、一个手势，甚至是…#职场,06-18 18:09:09,21秒,--,--,130012,2477,886,Luo Yonghao
什么样的产品，让罗老师用一次就哭了？,06-16 19:00:20,43秒,--,--,20559,1315,966,Luo Yonghao
当员工违反公司规定时，做领导的一定要对此严肃处理。,06-16 12:01:08,52秒,--,--,105729,2569,1602,Luo Yonghao
交个朋友直播间是如何兼顾超低折扣和顾客的刁钻要求的？,06-12 21:25:39,24秒,--,--,47416,1650,552,Luo Yonghao
如何用一句话激怒你妈？,06-12 17:13:41,23秒,--,--,12235,234,121,Luo Yonghao
过年会开香槟乱喷一通？过生日用蛋糕乱抹一通？罗老师有话要说！,06-11 21:42:37,18秒,--,--,6161,135,79,Luo Yonghao
在关键问题上，优秀的员工只需要老板一个动作就能领会！#职场,06-11 19:20:29,20秒,--,--,68439,1675,686,Luo Yonghao
马上高考了，学历重要吗？听听罗老师怎么说。#高考,06-06 18:12:51,1分24秒,--,--,41917,1715,2554,Luo Yonghao
吃货主播罗永浩欲转型为穿搭主播？#抖音618好物节,06-05 20:21:38,19秒,--,--,18340,262,89,Luo Yonghao
